# Log file created with: 'geigerlog_simple_500plus.py', Version: 0.1 (code °µ°)
# Python Version: 2.7.12 (default, Dec  4 2017, 14:50:18) [GCC 5.4.0 20160609]
# DateTime,          CPS, CPM, CPM1st, CPM2nd
2018-07-16 09:04:57, 0, 19, 19, 19
2018-07-16 09:04:58, 0, 19, 19, 19
2018-07-16 09:04:59, 0, 19, 19, 19
2018-07-16 09:05:00, 0, 19, 19, 19
2018-07-16 09:05:02, 0, 19, 19, 19
2018-07-16 09:05:03, 0, 19, 19, 19
2018-07-16 09:05:04, 0, 19, 19, 19
2018-07-16 09:05:05, 0, 18, 18, 18
2018-07-16 09:05:06, 0, 18, 18, 18
2018-07-16 09:05:07, 0, 18, 18, 18
2018-07-16 09:05:08, 0, 18, 18, 18
2018-07-16 09:05:09, 0, 18, 18, 18
2018-07-16 09:05:10, 0, 18, 18, 18
2018-07-16 09:05:11, 1, 18, 18, 18
2018-07-16 09:05:12, 0, 16, 16, 16
2018-07-16 09:05:13, 0, 16, 16, 16
2018-07-16 09:05:14, 0, 14, 14, 14
2018-07-16 09:05:15, 0, 13, 13, 13
2018-07-16 09:05:16, 0, 13, 13, 13
2018-07-16 09:05:17, 0, 13, 13, 13
2018-07-16 09:05:18, 0, 13, 13, 13
2018-07-16 09:05:19, 0, 13, 13, 13
2018-07-16 09:05:20, 1, 14, 14, 14
2018-07-16 09:05:21, 0, 14, 14, 14
2018-07-16 09:05:22, 0, 13, 13, 13
2018-07-16 09:05:23, 1, 14, 14, 14
2018-07-16 09:05:24, 0, 14, 14, 14
2018-07-16 09:05:25, 0, 13, 13, 13
2018-07-16 09:05:26, 0, 12, 12, 12
2018-07-16 09:05:27, 0, 11, 11, 11
2018-07-16 09:05:28, 0, 11, 11, 11
2018-07-16 09:05:29, 2, 13, 13, 13
2018-07-16 09:05:30, 0, 12, 12, 12
2018-07-16 09:05:31, 0, 12, 12, 12
2018-07-16 09:05:32, 1, 13, 13, 13
2018-07-16 09:05:33, 1, 13, 13, 13
2018-07-16 09:05:34, 0, 13, 13, 13
2018-07-16 09:05:35, 0, 13, 13, 13
2018-07-16 09:05:37, 0, 13, 13, 13
2018-07-16 09:05:38, 1, 13, 13, 13
2018-07-16 09:05:39, 0, 13, 13, 13
2018-07-16 09:05:40, 0, 13, 13, 13
2018-07-16 09:05:41, 1, 14, 14, 14
2018-07-16 09:05:42, 0, 13, 13, 13
2018-07-16 09:05:43, 0, 13, 13, 13
2018-07-16 09:05:44, 0, 12, 12, 12
2018-07-16 09:05:45, 1, 13, 13, 13
2018-07-16 09:05:46, 0, 12, 12, 12
2018-07-16 09:05:47, 0, 12, 12, 12
2018-07-16 09:05:48, 0, 11, 11, 11
2018-07-16 09:05:49, 1, 12, 12, 12
2018-07-16 09:05:50, 0, 12, 12, 12
2018-07-16 09:05:51, 1, 13, 13, 13
2018-07-16 09:05:52, 1, 14, 14, 14
2018-07-16 09:05:53, 0, 13, 13, 13
2018-07-16 09:05:54, 0, 13, 13, 13
2018-07-16 09:05:55, 1, 14, 14, 14
2018-07-16 09:05:56, 0, 14, 14, 14
2018-07-16 09:05:57, 0, 14, 14, 14
2018-07-16 09:05:58, 0, 14, 14, 14
2018-07-16 09:05:59, 0, 14, 14, 14
2018-07-16 09:06:00, 0, 14, 14, 14
2018-07-16 09:06:01, 0, 14, 14, 14
2018-07-16 09:06:02, 0, 14, 14, 14
2018-07-16 09:06:03, 0, 14, 14, 14
2018-07-16 09:06:05, 0, 14, 14, 14
2018-07-16 09:06:06, 0, 14, 14, 14
2018-07-16 09:06:07, 0, 14, 14, 14
2018-07-16 09:06:08, 0, 14, 14, 14
2018-07-16 09:06:09, 0, 14, 14, 14
2018-07-16 09:06:10, 0, 14, 14, 14
2018-07-16 09:06:11, 1, 15, 15, 15
2018-07-16 09:06:12, 1, 15, 15, 15
2018-07-16 09:06:13, 0, 15, 15, 15
2018-07-16 09:06:14, 0, 15, 15, 15
2018-07-16 09:06:15, 0, 15, 15, 15
2018-07-16 09:06:16, 1, 16, 16, 16
2018-07-16 09:06:17, 0, 16, 16, 16
2018-07-16 09:06:18, 0, 16, 16, 16
2018-07-16 09:06:19, 1, 17, 17, 17
2018-07-16 09:06:20, 0, 17, 17, 17
2018-07-16 09:06:21, 0, 16, 16, 16
2018-07-16 09:06:22, 0, 16, 16, 16
2018-07-16 09:06:23, 0, 16, 16, 16
2018-07-16 09:06:24, 1, 16, 16, 16
2018-07-16 09:06:25, 0, 16, 16, 16
2018-07-16 09:06:26, 1, 17, 17, 17
2018-07-16 09:06:27, 0, 17, 17, 17
2018-07-16 09:06:28, 0, 17, 17, 17
2018-07-16 09:06:29, 0, 17, 17, 17
2018-07-16 09:06:30, 0, 15, 15, 15
2018-07-16 09:06:31, 1, 16, 16, 16
2018-07-16 09:06:32, 0, 15, 15, 15
2018-07-16 09:06:33, 0, 14, 14, 14
2018-07-16 09:06:34, 0, 14, 14, 14
2018-07-16 09:06:36, 1, 15, 15, 15
2018-07-16 09:06:37, 0, 15, 15, 15
2018-07-16 09:06:38, 1, 15, 15, 15
2018-07-16 09:06:39, 0, 15, 15, 15
2018-07-16 09:06:40, 0, 15, 15, 15
2018-07-16 09:06:41, 0, 14, 14, 14
2018-07-16 09:06:42, 0, 14, 14, 14
2018-07-16 09:06:43, 0, 14, 14, 14
2018-07-16 09:06:44, 0, 14, 14, 14
2018-07-16 09:06:45, 0, 13, 13, 13
2018-07-16 09:06:46, 0, 13, 13, 13
2018-07-16 09:06:47, 0, 13, 13, 13
2018-07-16 09:06:48, 0, 13, 13, 13
2018-07-16 09:06:49, 0, 13, 13, 13
2018-07-16 09:06:50, 0, 12, 12, 12
2018-07-16 09:06:51, 0, 12, 12, 12
2018-07-16 09:06:52, 0, 11, 11, 11
2018-07-16 09:06:53, 0, 10, 10, 10
2018-07-16 09:06:54, 0, 10, 10, 10
2018-07-16 09:06:55, 0, 10, 10, 10
2018-07-16 09:06:56, 0, 9, 9, 9
2018-07-16 09:06:57, 0, 9, 9, 9
2018-07-16 09:06:58, 1, 10, 10, 10
2018-07-16 09:06:59, 0, 10, 10, 10
2018-07-16 09:07:00, 0, 10, 10, 10
2018-07-16 09:07:01, 0, 10, 10, 10
2018-07-16 09:07:02, 0, 10, 10, 10
2018-07-16 09:07:03, 0, 10, 10, 10
2018-07-16 09:07:04, 0, 10, 10, 10
2018-07-16 09:07:05, 0, 10, 10, 10
2018-07-16 09:07:06, 1, 11, 11, 11
2018-07-16 09:07:07, 0, 11, 11, 11
2018-07-16 09:07:08, 0, 11, 11, 11
2018-07-16 09:07:10, 0, 11, 11, 11
2018-07-16 09:07:11, 0, 10, 10, 10
2018-07-16 09:07:12, 0, 9, 9, 9
2018-07-16 09:07:13, 0, 9, 9, 9
2018-07-16 09:07:14, 1, 10, 10, 10
2018-07-16 09:07:15, 0, 10, 10, 10
2018-07-16 09:07:16, 2, 11, 11, 11
2018-07-16 09:07:17, 0, 11, 11, 11
2018-07-16 09:07:18, 0, 11, 11, 11
2018-07-16 09:07:19, 0, 10, 10, 10
2018-07-16 09:07:20, 0, 10, 10, 10
2018-07-16 09:07:21, 0, 10, 10, 10
2018-07-16 09:07:22, 0, 10, 10, 10
2018-07-16 09:07:23, 1, 11, 11, 11
2018-07-16 09:07:24, 1, 11, 11, 11
2018-07-16 09:07:25, 0, 11, 11, 11
2018-07-16 09:07:26, 0, 10, 10, 10
2018-07-16 09:07:27, 0, 10, 10, 10
2018-07-16 09:07:28, 0, 10, 10, 10
2018-07-16 09:07:29, 1, 11, 11, 11
2018-07-16 09:07:30, 0, 11, 11, 11
2018-07-16 09:07:31, 1, 11, 11, 11
2018-07-16 09:07:32, 1, 12, 12, 12
2018-07-16 09:07:33, 1, 13, 13, 13
2018-07-16 09:07:34, 0, 13, 13, 13
2018-07-16 09:07:35, 1, 14, 14, 14
2018-07-16 09:07:36, 0, 13, 13, 13
2018-07-16 09:07:37, 0, 13, 13, 13
2018-07-16 09:07:38, 2, 14, 14, 14
2018-07-16 09:07:39, 0, 14, 14, 14
2018-07-16 09:07:40, 3, 17, 17, 17
2018-07-16 09:07:41, 0, 17, 17, 17
2018-07-16 09:07:42, 1, 18, 18, 18
2018-07-16 09:07:43, 0, 18, 18, 18
2018-07-16 09:07:44, 0, 18, 18, 18
2018-07-16 09:07:45, 0, 18, 18, 18
2018-07-16 09:07:46, 0, 18, 18, 18
2018-07-16 09:07:47, 2, 20, 20, 20
2018-07-16 09:07:48, 0, 20, 20, 20
2018-07-16 09:07:49, 1, 21, 21, 21
2018-07-16 09:07:50, 1, 22, 22, 22
2018-07-16 09:07:51, 0, 22, 22, 22
2018-07-16 09:07:52, 0, 22, 22, 22
2018-07-16 09:07:53, 0, 22, 22, 22
2018-07-16 09:07:54, 0, 22, 22, 22
2018-07-16 09:07:55, 1, 23, 23, 23
2018-07-16 09:07:56, 0, 23, 23, 23
2018-07-16 09:07:57, 0, 23, 23, 23
2018-07-16 09:07:58, 0, 22, 22, 22
2018-07-16 09:07:59, 0, 22, 22, 22
2018-07-16 09:08:00, 0, 22, 22, 22
2018-07-16 09:08:01, 0, 22, 22, 22
2018-07-16 09:08:02, 1, 23, 23, 23
2018-07-16 09:08:03, 0, 23, 23, 23
2018-07-16 09:08:04, 0, 23, 23, 23
2018-07-16 09:08:05, 0, 23, 23, 23
2018-07-16 09:08:06, 0, 22, 22, 22
2018-07-16 09:08:07, 2, 24, 24, 24
2018-07-16 09:08:08, 0, 24, 24, 24
2018-07-16 09:08:09, 1, 25, 25, 25
2018-07-16 09:08:10, 0, 25, 25, 25
2018-07-16 09:08:12, 0, 25, 25, 25
2018-07-16 09:08:13, 0, 25, 25, 25
2018-07-16 09:08:14, 0, 24, 24, 24
2018-07-16 09:08:15, 0, 24, 24, 24
2018-07-16 09:08:16, 0, 22, 22, 22
2018-07-16 09:08:17, 0, 22, 22, 22
2018-07-16 09:08:18, 3, 25, 25, 25
2018-07-16 09:08:19, 0, 25, 25, 25
2018-07-16 09:08:20, 1, 26, 26, 26
2018-07-16 09:08:21, 0, 26, 26, 26
2018-07-16 09:08:22, 0, 26, 26, 26
2018-07-16 09:08:23, 1, 26, 26, 26
